estado,fecha,hosp_gral,cama_venti,venti_uci
Ciudad de México,11/06/2021,15.52,13.07,12.25
Coahuila de Zaragoza,11/06/2021,11.11,5.83,8
Colima,11/06/2021,13.79,18.91,5.55
Durango,11/06/2021,29.41,8.86,25
Guanajuato,11/06/2021,3.74,1.05,1.78
Guerrero,11/06/2021,9.89,10.24,10
Hidalgo,11/06/2021,12.73,6.57,0
Jalisco,11/06/2021,13.5,6.13,10.84
México,11/06/2021,9.17,10.48,12.5
Michoacán de Ocampo,11/06/2021,6.56,5.26,0
Morelos,11/06/2021,12.71,9.03,27.13
Nayarit,11/06/2021,18.01,14.47,0
Nuevo León,11/06/2021,24.79,19.96,35.86
Oaxaca,11/06/2021,14.97,7.74,15
Puebla,11/06/2021,9.12,9.59,16.21
Querétaro,11/06/2021,4.82,6.56,54.54
Quintana Roo,11/06/2021,35.91,17.28,34.78
San Luis Potosí,11/06/2021,3.49,4.52,12.28
Sinaloa,11/06/2021,18.69,12.59,22.97
Sonora,11/06/2021,20.91,12.9,29.54
Tabasco,11/06/2021,26.19,38.55,37.7
Tamaulipas,11/06/2021,28.11,16.66,29.11
Tlaxcala,11/06/2021,4.02,8.49,100
Veracruz de Ignacio de la Llave,11/06/2021,18.6,8.68,21.97
Yucatán,11/06/2021,20.11,42.5,73.91
Zacatecas,11/06/2021,4.44,6.61,30
Aguascalientes,12/06/2021,10.81,11.61,15.09
Baja California,12/06/2021,8.73,12.32,7.69
Baja California Sur,12/06/2021,46.66,32.29,0
Campeche,12/06/2021,13.43,15.49,35.29
Chiapas,12/06/2021,4.39,6.48,6.34
Chihuahua,12/06/2021,12.23,15.46,14.63
Ciudad de México,12/06/2021,16.7,10.76,8.63
Coahuila de Zaragoza,12/06/2021,13.59,5.21,40
Colima,12/06/2021,7.52,19.23,0
Durango,12/06/2021,25.88,5.06,21.73
Guanajuato,12/06/2021,4.64,1.04,5.63
Guerrero,12/06/2021,7.73,10.29,7.89
Hidalgo,12/06/2021,12.38,5.92,0
Jalisco,12/06/2021,12.94,4.8,10.32
México,12/06/2021,9.19,9.91,12.5
Michoacán de Ocampo,12/06/2021,5.91,3.2,0
Morelos,12/06/2021,11.17,7.97,24.42
Nayarit,12/06/2021,17.69,16.88,0
Nuevo León,12/06/2021,26.41,19.96,32.96
Oaxaca,12/06/2021,12.27,10.95,6
Puebla,12/06/2021,10.43,10.83,14.75
Querétaro,12/06/2021,4.55,3.86,31.81
Quintana Roo,12/06/2021,37.32,23.01,42.55
San Luis Potosí,12/06/2021,3.33,3.5,5.55
Sinaloa,12/06/2021,19.9,14.7,28.37
Sonora,12/06/2021,25.08,16.47,32.43
Tabasco,12/06/2021,24.35,27.31,30.68
Tamaulipas,12/06/2021,29.57,17.06,41.07
Tlaxcala,12/06/2021,2.66,8.57,0
Veracruz de Ignacio de la Llave,12/06/2021,18.41,8.48,15.68
Yucatán,12/06/2021,20,43.75,78.26
Zacatecas,12/06/2021,7.69,8.14,33.33
Aguascalientes,13/06/2021,12.08,9.09,15.09
Baja California,13/06/2021,9.84,11.26,0
Baja California Sur,13/06/2021,76.13,71.79,0
Campeche,13/06/2021,8.92,8.03,12.5
Chiapas,13/06/2021,4.7,6.46,6.34
Chihuahua,13/06/2021,10.09,7.33,6.89
Ciudad de México,13/06/2021,18.48,11.63,12.5
Coahuila de Zaragoza,13/06/2021,14,6.14,40
Colima,13/06/2021,6.59,20.75,0
Durango,13/06/2021,33.33,5.4,26.66
Guanajuato,13/06/2021,4.51,1.35,7.14
Guerrero,13/06/2021,9.47,11.11,10.52
Hidalgo,13/06/2021,12.05,4.6,0
Jalisco,13/06/2021,13.29,4.85,12.2
México,13/06/2021,11.23,10.72,12.5
Michoacán de Ocampo,13/06/2021,6.99,3.15,0
Morelos,13/06/2021,11.96,7.27,26.47
Nayarit,13/06/2021,22.8,16.21,0
Nuevo León,13/06/2021,24.28,20.65,37.46
Oaxaca,13/06/2021,12.76,7.53,9.09
Puebla,13/06/2021,13.29,9.73,18.51
Querétaro,13/06/2021,3.76,3.44,22.72
Quintana Roo,13/06/2021,36.64,23.2,41.3
San Luis Potosí,13/06/2021,3.33,2.91,6.25
Sinaloa,13/06/2021,23.13,17.15,30.43
Sonora,13/06/2021,25.64,17,42.85
Tabasco,13/06/2021,26.02,28.21,32.14
Tamaulipas,13/06/2021,32.89,13.58,21.23
Tlaxcala,13/06/2021,2.66,9.34,0
Veracruz de Ignacio de la Llave,13/06/2021,15.66,7.9,14.95
Yucatán,13/06/2021,20.8,46.62,78.26
Zacatecas,13/06/2021,5.08,7.51,33.33
Aguascalientes,14/06/2021,12.08,9.09,15.09
Baja California,14/06/2021,9.84,11.26,0
Baja California Sur,14/06/2021,76.13,71.79,0
Campeche,14/06/2021,8.92,8.03,12.5
Chiapas,14/06/2021,4.7,6.46,6.34
Chihuahua,14/06/2021,10.09,7.33,6.89
Ciudad de México,14/06/2021,18.48,11.63,12.5
Coahuila de Zaragoza,14/06/2021,14,6.14,40
Colima,14/06/2021,6.59,20.75,0
Durango,14/06/2021,33.33,5.4,26.66
Guanajuato,14/06/2021,4.51,1.35,7.14
Guerrero,14/06/2021,9.47,11.11,10.52
Hidalgo,14/06/2021,12.05,4.6,0
Jalisco,14/06/2021,13.29,4.85,12.2
México,14/06/2021,11.96,7.27,26.47
Michoacán de Ocampo,14/06/2021,11.23,10.72,12.5
Morelos,14/06/2021,6.99,3.15,0
Nayarit,14/06/2021,22.8,16.21,0
Nuevo León,14/06/2021,24.28,20.65,37.46
Oaxaca,14/06/2021,12.76,7.53,9.09
Puebla,14/06/2021,13.29,9.73,18.51
Querétaro,14/06/2021,3.76,3.44,22.72
Quintana Roo,14/06/2021,36.64,23.2,41.3
San Luis Potosí,14/06/2021,3.33,2.91,6.25
Sinaloa,14/06/2021,23.13,17.15,30.43
Sonora,14/06/2021,25.64,17,42.85
Tabasco,14/06/2021,26.02,28.21,32.14
Tamaulipas,14/06/2021,32.89,13.58,21.23
Tlaxcala,14/06/2021,2.66,9.34,0
Veracruz de Ignacio de la Llave,14/06/2021,15.66,7.9,14.95
Yucatán,14/06/2021,20.8,46.62,78.26
Zacatecas,14/06/2021,5.08,7.51,33.33
Aguascalientes,15/06/2021,12.24,9.21,15.68
Baja California,15/06/2021,14.76,15.4,9.3
