"","Estado","fecha","hosp_gral","cama_venti","venti_uci"
"157","Tlaxcala",2021-06-05,6.32,7.54,0
"158","Veracruz de Ignacio de La Llave",2021-06-05,13.63,7.73,16.51
"159","Yucatán",2021-06-05,16.36,34.88,76
"160","Zacatecas",2021-06-05,6.83,6.76,27.77
"161","Aguascalientes",2021-06-06,11.56,9.31,24.52
"162","Baja California",2021-06-06,15.19,17.77,10.41
"163","Baja California Sur",2021-06-06,33.91,23.07,0
"164","Campeche",2021-06-06,5.05,10.81,15.62
"165","Chiapas",2021-06-06,3.89,4.08,7.93
"166","Chihuahua",2021-06-06,13.3,13.82,14.1
"167","Ciudad de México",2021-06-06,12.33,8.88,8.98
"168","Coahuila de Zaragoza",2021-06-06,12.06,11.3,100
"169","Colima",2021-06-06,8.13,17.39,0
"170","Durango",2021-06-06,25.88,8.24,19.64
"171","Guanajuato",2021-06-06,4.21,1.2,5.35
"172","Guerrero",2021-06-06,10.52,8.58,7.89
"173","Hidalgo",2021-06-06,15.2,6.91,0
"174","Jalisco",2021-06-06,11.32,8.61,13.21
"175","México",2021-06-06,8.54,9.01,12.5
"176","Michoacán de Ocampo",2021-06-06,8.2,3.22,0
"177","Morelos",2021-06-06,11.7,7.89,26.42
"178","Nayarit",2021-06-06,24.13,14.66,0
"179","Nuevo León",2021-06-06,24.22,22.06,32.92
"180","Oaxaca",2021-06-06,13.76,10.69,23.43
"181","Puebla",2021-06-06,12.48,11.47,19.27
"182","Querétaro",2021-06-06,6.46,6.51,50
"183","Quintana Roo",2021-06-06,32.55,17.13,33.33
"184","San Luis Potosí",2021-06-06,3.42,4.95,11.11
"185","Sinaloa",2021-06-06,15.25,13.33,22.22
"186","Sonora",2021-06-06,15.85,13.63,22.5
"187","Tabasco",2021-06-06,27.55,24.58,36.66
"188","Tamaulipas",2021-06-06,19.34,17.24,31.25
"189","Tlaxcala",2021-06-06,5.69,9.34,0
"190","Veracruz de Ignacio de La Llave",2021-06-06,16.1,6.7,15.78
"191","Yucatán",2021-06-06,16.83,32.78,73.91
"192","Zacatecas",2021-06-06,10.74,5.18,25
"193","Aguascalientes",2021-06-07,12.13,9.43,24.52
"194","Baja California",2021-06-07,16.66,15.87,14.28
"195","Baja California Sur",2021-06-07,32.02,22.09,0
"196","Campeche",2021-06-07,5.85,9.25,12.5
"197","Chiapas",2021-06-07,3.65,4.71,9.52
"198","Chihuahua",2021-06-07,15.65,11.65,13.33
"199","Ciudad de México",2021-06-07,14.46,11.22,11.52
"200","Coahuila de Zaragoza",2021-06-07,12.13,9.83,50
"201","Colima",2021-06-07,15.45,15.71,5.55
"202","Durango",2021-06-07,25,8.69,19.64
"203","Guanajuato",2021-06-07,4.03,1.18,5.35
"204","Guerrero",2021-06-07,11.01,8.49,7.77
"205","Hidalgo",2021-06-07,14.47,6.17,0
"206","Jalisco",2021-06-07,12.81,7.35,12.2
"207","México",2021-06-07,8.34,9.27,12.5
"208","Michoacán de Ocampo",2021-06-07,8.42,4.83,0
"209","Morelos",2021-06-07,10.75,8.3,25
"210","Nayarit",2021-06-07,19.81,15,0
"211","Nuevo León",2021-06-07,23.3,19.62,32.53
"212","Oaxaca",2021-06-07,16.66,9.2,21.21
"213","Puebla",2021-06-07,13.77,11.4,19.76
"214","Querétaro",2021-06-07,6.91,6.64,50
"215","Quintana Roo",2021-06-07,34.57,16.46,34.78
